time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
12044,0,0,0,10492,5188
12044,0,0,0,10490,5190
12044,0,0,0,10458,5222
12044,0,0,0,10426,5254
12044,0,0,0,10170,5510
12044,0,0,0,10169,5511
12044,0,0,0,10168,5512
12044,0,0,0,10167,5513
12044,0,0,0,10159,5521
12044,0,0,0,10143,5537
12044,0,0,0,10015,5665
12044,0,0,0,10014,5666
12044,0,0,0,10013,5667
12044,0,0,0,10012,5668
12044,0,0,0,10011,5669
12044,0,0,0,9883,5797
12044,0,0,0,9875,5805
12044,0,0,0,9874,5806
12044,0,0,0,9858,5822
12044,0,0,0,9857,5823
12044,0,0,0,9601,6079
12044,0,0,0,9599,6081
12044,0,0,0,9583,6097
12044,0,0,0,9582,6098
12044,0,0,0,9581,6099
12044,0,0,0,9580,6100
12044,0,0,0,9572,6108
12044,0,0,0,9316,6364
12044,0,0,0,9315,6365
12044,0,0,0,9314,6366
12044,0,0,0,9313,6367
12044,0,0,0,9185,6495
12045,0,0,0,9177,6503
12045,0,0,0,9176,6504
12045,0,0,0,9172,6508
12045,0,0,0,8916,6764
12045,0,0,0,8788,6892
12045,0,0,0,8660,7020
12045,0,0,0,8644,7036
12045,0,0,0,8612,7068
12045,0,0,0,8610,7070
12056,0,0,0,8609,7071
12058,0,0,0,8610,7070
12059,0,0,0,8611,7069
12059,0,0,0,8619,7061
12059,0,0,0,8747,6933
12059,0,0,0,8748,6932
12059,0,0,0,8756,6924
12059,0,0,0,8760,6920
12059,0,0,0,9016,6664
12059,0,0,0,9272,6408
12059,0,0,0,9273,6407
12059,0,0,0,9401,6279
12059,0,0,0,9403,6277
12059,0,0,0,9531,6149
12059,0,0,0,9547,6133
12059,0,0,0,9563,6117
12059,0,0,0,9691,5989
12059,0,0,0,9723,5957
12059,0,0,0,9725,5955
12059,0,0,0,9727,5953
12059,0,0,0,9759,5921
12059,0,0,0,9791,5889
12059,0,0,0,10047,5633
12059,0,0,0,10048,5632
12059,0,0,0,10049,5631
12059,0,0,0,10050,5630
12059,0,0,0,10058,5622
12059,0,0,0,10074,5606
12059,0,0,0,10202,5478
12059,0,0,0,10203,5477
12059,0,0,0,10204,5476
12059,0,0,0,10205,5475
12059,0,0,0,10206,5474
12059,0,0,0,10334,5346
12059,0,0,0,10342,5338
12059,0,0,0,10343,5337
12059,0,0,0,10359,5321
12059,0,0,0,10360,5320
12059,0,0,0,10616,5064
12059,0,0,0,10618,5062
12059,0,0,0,10634,5046
12059,0,0,0,10635,5045
12059,0,0,0,10636,5044
12059,0,0,0,10644,5036
12059,0,0,0,10900,4780
12059,0,0,0,10901,4779
12059,0,0,0,10902,4778
12059,0,0,0,10903,4777
12059,0,0,0,11031,4649
12070,0,0,0,11030,4650
12072,0,0,0,11031,4649
12107,0,0,0,11030,4650
12108,0,0,0,11031,4649
12133,0,0,0,11032,4648
12133,0,0,0,10904,4776
12135,0,0,0,11032,4648
12136,0,0,0,11031,4649
12164,0,0,0,11032,4648
12165,0,0,0,11028,4652
12166,0,0,0,11032,4648
12168,0,0,0,11031,4649
12170,0,0,0,11032,4648
12172,0,0,0,11033,4647
12172,0,0,0,11032,4648
12173,0,0,0,11033,4647
12175,0,0,0,11032,4648
12177,0,0,0,11033,4647
12178,0,0,0,11001,4679
12180,0,0,0,11033,4647
12183,0,0,0,11025,4655
12217,0,0,0,11021,4659
12219,0,0,0,11025,4655
12220,0,0,0,10769,4911
12221,0,0,0,11025,4655
12223,0,0,0,10897,4783
12224,0,0,0,11025,4655
12225,0,0,0,11024,4656
12227,0,0,0,11025,4655
12228,0,0,0,11024,4656
12229,0,0,0,11025,4655
12231,0,0,0,10897,4783
12231,0,0,0,10896,4784
12232,0,0,0,10897,4783
12234,0,0,0,10896,4784
12236,0,0,0,10897,4783
12238,0,0,0,10896,4784
12239,0,0,0,10897,4783
12242,0,0,0,10896,4784
12243,0,0,0,11024,4656
12244,0,0,0,11025,4655
12246,0,0,0,11009,4671
12248,0,0,0,11025,4655
12249,0,0,0,11024,4656
12250,0,0,0,11025,4655
12252,0,0,0,11017,4663
12253,0,0,0,11025,4655
12255,0,0,0,11024,4656
12257,0,0,0,11032,4648
12257,0,0,0,11033,4647
12260,0,0,0,10777,4903
12262,0,0,0,11033,4647
12263,0,0,0,11032,4648
12264,0,0,0,11033,4647
12265,0,0,0,11032,4648
12266,0,0,0,11033,4647
