time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
17231,0,0,0,0,512
17412,0,0,0,1,511
17412,0,0,0,0,512
17649,0,0,0,1,511
17649,0,0,0,0,512
17770,0,0,0,16,496
17770,0,0,0,0,512
17949,0,0,0,1,511
17949,0,0,0,0,512
18003,0,0,0,1,511
18003,0,0,0,0,512
18005,0,0,0,1,511
18005,0,0,0,0,512
18054,0,0,0,1,511
18054,0,0,0,0,512
18079.1,0,0,0,1,511
18079.1,0,0,0,0,512
18104.1,0,0,0,1,511
18104.1,0,0,0,0,512
18175,0,0,0,1,511
18175,0,0,0,0,512
18266,0,0,0,1,511
18266,0,0,0,0,512
18405,0,0,0,1,511
18405,0,0,0,0,512
18428,0,0,0,1,511
18428,0,0,0,0,512
18482,0,0,0,1,511
18482,0,0,0,0,512
18600.2,0,0,0,1,511
18600.2,0,0,0,0,512
18745,0,0,0,1,511
18745,0,0,0,0,512
18770,0,0,0,1,511
18770,0,0,0,0,512
18784,0,0,0,1,511
18784,0,0,0,0,512
18857.1,0,0,0,1,511
18857.1,0,0,0,0,512
18928,0,0,0,1,511
18928,0,0,0,0,512
19565,0,0,0,1,511
19565,0,0,0,0,512
19662,0,0,0,1,511
19662,0,0,0,0,512
19952,0,0,0,1,511
19952,0,0,0,0,512
19998,0,0,0,16,496
19998,0,0,0,12,500
19998,0,0,0,8,504
19998,0,0,0,0,512
20082,0,0,0,4,508
20082,0,0,0,0,512
20089,0,0,0,16,496
20089,0,0,0,0,512
20103,0,0,0,4,508
20103,0,0,0,0,512
20183,0,0,0,16,496
20183,0,0,0,8,504
20183,0,0,0,0,512
20249,0,0,0,8,504
20249,0,0,0,4,508
20249,0,0,0,2,510
20249,0,0,0,0,512
20262,0,0,0,2,510
20262,0,0,0,0,512
20274,0,0,0,2,510
20274,0,0,0,0,512
20286,0,0,0,2,510
20286,0,0,0,0,512
20294,0,0,0,1,511
20294,0,0,0,0,512
20298,0,0,0,2,510
20298,0,0,0,0,512
20661,0,0,0,1,511
20661,0,0,0,0,512
20662,0,0,0,1,511
20662,0,0,0,0,512
20802,0,0,0,1,511
20802,0,0,0,0,512
20886,0,0,0,16,496
20886,0,0,0,0,512
20999,0,0,0,1,511
20999,0,0,0,0,512
21193,0,0,0,1,511
21193,0,0,0,0,512
21194,0,0,0,1,511
21194,0,0,0,0,512
21317,0,0,0,4,508
21317,0,0,0,0,512
21328,0,0,0,1,511
21328,0,0,0,0,512
21428,0,0,0,1,511
21428,0,0,0,0,512
21465,0,0,0,1,511
21465,0,0,0,0,512
21571,0,0,0,1,511
21571,0,0,0,0,512
21573,0,0,0,1,511
21573,0,0,0,0,512
21619,0,0,0,8,504
21619,0,0,0,4,508
21619,0,0,0,0,512
21624,0,0,0,1,511
21624,0,0,0,0,512
21679,0,0,0,1,511
21679,0,0,0,0,512
21698,0,0,0,1,511
21698,0,0,0,0,512
21717.1,0,0,0,1,511
21717.1,0,0,0,0,512
21740,0,0,0,1,511
21740,0,0,0,0,512
21741,0,0,0,1,511
21741,0,0,0,0,512
21744,0,0,0,1,511
21744.1,0,0,0,0,512
21938,0,0,0,1,511
21938,0,0,0,0,512
22023,0,0,0,1,511
22023,0,0,0,0,512
22025,0,0,0,1,511
22025,0,0,0,0,512
22058,0,0,0,1,511
22058,0,0,0,0,512
